,Cluster
AFG(Afganistan),c1
ALB(Albania),c1
BGR(Bulgaria),c2
BWA(Bhairawa),c2
COL(Columbia),c2
DOM(Republica Dominicana),c2
IND(India),c1
JOR(Iordania),c1
MAR(Marok),c1
NEP(Nepla),c1
PER(Peru),c2
ROU(Romania),c2
RUS(Rusia),c2
THA(Thailanda),c2
TUR(Turcia),c2
UGA(Uganda),c1
UKR(Ucraina),c1
ZAF(Africa de Sud),c2
ZWE(Zimbabwe),c1
