,Cluster
AFG(Afganistan),c3
ALB(Albania),c3
BGR(Bulgaria),c2
BWA(Bhairawa),c2
COL(Columbia),c2
DOM(Republica Dominicana),c2
IND(India),c3
JOR(Iordania),c3
MAR(Marok),c3
NEP(Nepla),c3
PER(Peru),c2
ROU(Romania),c1
RUS(Rusia),c1
THA(Thailanda),c2
TUR(Turcia),c1
UGA(Uganda),c3
UKR(Ucraina),c3
ZAF(Africa de Sud),c2
ZWE(Zimbabwe),c3
